BCL6-HDAC4 complex;BCL6,HDAC4
Hsp70-Tim44 complex;Timm44,Hspa1a
Tim17a-Tim23 complex;Timm17a,Timm23
NINJ1 homo-oligomer complex;NINJ1
MLL4 complex;KMT2D,KDM6A,WDR5,NCOA6,KDM6B,PAXIP1,PAGR1,DPY30,ASH2L
TRAPP complex;TRAPPC3,TRAPPC6A,TRAPPC2,TRAPPC10,TRAPPC3L,TRAPPC11,TRAPPC6B,TRAPPC5,TRAPPC12,TRAPPC9,TRAPPC2L,TRAPPC4,TRAPPC8,TRAPPC1
Cx43-Trim21 complex;Trim21,Gja1
Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex;BCL2,BECN1,PIK3C3,PIK3R4,UVRAG
mitochondrial calcium uniporter complex;MICU2,MCU,MICU1,SMDT1,MCUB
Cubam complex;CUBN,AMN
Dnm1l-Mff complex;Mff,Dnm1l
erlin1/2-RNF170 complex;ERLIN1,ERLIN2,RNF170
ZEB2-KDM1A complex;ZEB2,KDM1A
Dnm1l-Mief1 complex;Mief1,Dnm1l
Cubilin-intrinsic factor-cobalamin complex;CUBN,GIF
Ncam-Fgfr4 signaling complex;Src,Gap43,Ncam1,Cdh2,Fgfr4,Cttn,Plcg1,Frs2
WASH complex;WASH1,KIAA0196,KIAA1033,CCDC53,FAM21C
CUL4B-DDB1-DTL-CSN complex;COPS2,GPS1,CUL4B,DDB1,DTL
CAPZalpha-CAPZbeta complex;CAPZB,CAPZA1
WASH-CAPZalpa/beta complex;WASH1,CAPZB,CAPZA1,KIAA0196,KIAA1033,CCDC53,FAM21C
HIF1alpha-VHL-ElonginB-ElonginC complex;VHL,TCEB1,TCEB2,HIF1A
CUL4A-DDB1-DTL complex;CUL4A,DDB1,DTL
CUL4B-DDB1-TLE2 complex;TLE2,CUL4B,DDB1
CUL4A-DDB1-EED complex;EED,CUL4A,DDB1
CUL4A-DDB1-WDR5 complex;WDR5,CUL4A,DDB1
CUL4B-DDB1-WDR26 complex;CUL4B,DDB1,WDR26
CUL4A-DDB1-RBBP5 complex;CUL4A,KDM6B,DDB1
CUL4A-DDB1-WDR5B complex;CUL4A,DDB1,WDR5B
CUL4A-DDB1-WDR57 complex;CUL4A,DDB1,SNRNP40
CUL4A-DDB1-WDR61 complex;CUL4A,DDB1,WDR61
CUL4B-DDB1-GRWD1 complex;CUL4B,DDB1,GRWD1
TOM20-TOM22-pOTC complex;OTC,TOMM20,TOMM22
TOM complex (TOM5, TOM6, TOM7, TOM20, TOM22, TOM40, TOM70), mitochondrial;TOMM70,TOMM40,TOMM20,TOMM5,TOMM6,TOMM22,TOMM7
TOM7 120K intermediate assembly complex (TOM7, TOM22, TOM40), mitochondrial;TOMM40,TOMM22,TOMM7
SOS1-ABI1-EPS8 complex;SOS1,EPS8,ABI1
TOM complex (Tom7, Tom22, Hsp60), mitochondrial;Tomm7,Hspd1,Tomm22
SOS1-ABI1-EPS8L1 complex;SOS1,ABI1,EPS8L1
Estrogen receptor complex (ESR1, EP300, NCOA1);ESR1,EP300,NCOA1
SOS1-ABI1-EPS8L2 complex;SOS1,ABI1,EPS8L2
SOS1-ABI1-EPS8L3 complex;SOS1,ABI1,EPS8L3
ERBB3-SPG1 complex;ERBB3,L1CAM
ERBB2-SPG1 complex;ERBB2,L1CAM
SERCA-PLN complex;ATP2A2,PLN
L1cam-Ncam1 complex;L1cam,Ncam1
pERK-vimentin-KPNA2 complex;VIM,MAPK3,KPNA2
ILK-SERCA2A-PLN complex;ATP2A2,PLN,ILK
L1cam-Itga5 complex;L1cam,Itga5
ILK-HSP90-CDC37 complex;HSP90AA1,ILK,CDC37
MAN1-SMAD2 complex;SMAD2,LEMD3
SLN-ATP2A1 complex;SLN,ATP2A1
SLN-PLN-SERCA1A complex;SLN,ATP2A1,PLN
SLN-PLN-SERCA2A complex;SLN,ATP2A2,PLN
SERCA2a-alphaKAP-CaM-CaMKII complex;ATP2A2,KPNA1,CALM1, CAL,CAMK2A
CEP164-TTBK2 complex;TTBK2,CEP164
CCDC92-CEP164 complex;CCDC92,CEP164
Harmonin-SANS complex;USH1G,USH1C
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex;PHLPP1,USP1,AKT1,PHLPP2,WDR48,FANCD2,FANCI
Ubiquilin-VCP-erasin complex;VCP,UBXN4,UBQLN1
DZIP1-GLI3 complex;GLI3,DZIP1
SPG3A-SPG33 complex;ZFYVE27,ATL1
SPG10-SPG33 complex;KIF5A,ZFYVE27
FLRT3-LPHN3-UNC5B complex;UNC5B,ADGRL3,FLRT3
FLRT3-LPHN3-UNC5D complex;UNC5D,ADGRL3,FLRT3
FLRT3-LPHN3 complex;ADGRL3,FLRT3
MYO7A-PDZD7 complex;MYO7A,PDZD7
CEP164-DZIP1 complex;DZIP1,CEP164
TSC2-HERC1 complex;TSC2,HERC1
DZIP1-IFT88 complex;IFT88,DZIP1
SPG31-SPG33 omplex;ZFYVE27,REEP1
Igsf9b-Magi1/2 complex;Igsf9b,Magi2
REEP5-SPG33 complex;REEP5,ZFYVE27
ANKS3-ANKS6 complex;Anks6,Anks3
SPG33-VAPA complex;ZFYVE27,VAPA
Spg33-Plp1 complex;Plp1,Zfyve27
GPX1-SBP1 complex;GPX1,SELENBP1
Spg33-Rtn1 complex;Zfyve27,Rtn1
Spg33-Rtn3 complex;Zfyve27,Rtn3
Spg33-Rtn4 complex;Zfyve27,Rtn4
Spg33-Kif5a complex;Kif5a,Zfyve27
DCDC2-MAPK8IP1 complex;DCDC2,MAPK8IP1
Igsf9b-Nlgn2 complex;Igsf9b,Nlgn2
Spg33-Kif5b complex;Zfyve27,Kif5b
Spg33-Kif5c complex;Kif5c,Zfyve27
SEP15-UGGT1 complex;Sep15,Uggt1
CUL4B-DDB1-TLE1 complex;TLE1,CUL4A,DDB1
Igsf9b-Nlgn2-Magi2 complex;Igsf9b,Magi2,Nlgn2
KIF5B-SPG33 complex;KIF5B,ZFYVE27
CUL4B-DDB1-TLE3 complex;TLE3,CUL4B,DDB1
KIF5C-SPG33 complex;KIF5C,ZFYVE27
Dcdc2-Dvl1 complex;Dvl1,Dcdc2
Dcdc2-Dvl2 complex;Dcdc2,Dvl2
Dcdc2-Dvl3 complex;Dcdc2,Dvl3
Dcdc2-Kif3a complex;Dcdc2,Kif3a
RAB11B-SPG10-SPG33 complex;KIF5A,RAB11B,ZFYVE27
PHB-ANX2-CD36 complex;Anxa2,Phb,Cd36
RAB11A-SPG33 complex;RAB11A,ZFYVE27
RAB11B-SPG33 complex;RAB11B,ZFYVE27
SPG33-SURF4 complex;SURF4,ZFYVE27
Nek8-Pkd2 complex;Pkd2,Nek8
RTN3-SPG33 complex;RTN3,ZFYVE27
SPG33-VAPB complex;VAPB,ZFYVE27
SWELL1-containing complex;LRRC8E,LRRC8B,LRRC8D,LRRC8A,LRRC8C
3M core complex;OBSL1,CUL7,CCDC8
SPG4-SPG33 complex;ZFYVE27,SPAST
Anks3-Bicc1 complex;Bicc1,Anks3
KCNE1-KCNH2 complex;KCNE1,KCNH2
Anks3-Anks6 complex;Anks6,Anks3
Anks6-Bicc1 complex;Anks6,Bicc1
Anks3-NPHP1 complex;NPHP1,Anks3
Anks3-Nek8 complex;Nek8,Anks3
Anks3-Hif1an complex;Hif1an,Anks3
3M complex;OBSL1,TP53,RBX1,CUL7,CUL9,FBXW8,CCDC8
KCNE2-KCNH2 complex;KCNH2,KCNE2
USF1-USF2 complex;USF1,USF2
Pggt1b-Fnta complex;Pggt1b,Fnta
LRRC8A-LRRC8C complex;LRRC8A,LRRC8C
LRRC8A-LRRC8D complex;LRRC8D,LRRC8A
LRRC8A-LRRC8E complex;LRRC8E,LRRC8A
CHRNA9-CHRNA10 complex;CHRNA10,CHRNA9
Intraflagellar transport complex A;TTC21B,WDR19,IFT140,IFT122,WDR35
VEcad-VEGFR complex;CDH5,FLT4,KDR
CAP-cbl-flotilin complex;FLOT1,CBL,SORBS1
E2F-1-DP-1 complex;E2F1,TFDP1
E2F-1-DP-1-cyclinA-CDK2 complex;CDK2,CCNA1,E2F1,TFDP1
FOXO3-CBP complex;FOXO3,CREBBP
Hsp90-p23 complex;HSP90AA1,PTGES3
c-Abl-CAS-Abi1 complex;ABL1,BCAR1,ABI1
Kinesin II complex (Kif3a-Kif3b-Kifap3);Kif3a,Kifap3,Kif3b
CCP110-CEP290 complex;CEP290,CCP110
Ccp110-Cep290-Rab8a complex;Rab8a,Cep290,Ccp110
Tectonic complex;Tctn2,Mks1,Cep290,Tmem67,Tctn1,Cc2d2a,Tctn3,Tmem216,B9d1
CEP290-IQCB1 complex;CEP290,IQCB1
CC2D2A-CEP290 complex;CEP290,CC2D2A
CTNND1-GLIS2 complex;CTNND1,GLIS2
NPHP1-PKD1 complex;NPHP1,PKD1
BBS1-BBS4-BBS5-PKD1-TTC8 complex;PKD1,BBS5,BBS1,TTC8,BBS4
AP5-SPG11-SPG15 complex;AP5Z1,AP5B1,ZFYVE26,SPG11,AP5M1,AP5S1
ANKRA2-CCDC8-OBSL1-CUL7 complex;OBSL1,CUL7,CCDC8,ANKRA2
Gli3-Kif7 complex;Kif7,Gli3
Gli1-Kif7 complex;Kif7,Gli1
Gli2-Kif7 complex;Kif7,Gli2
Kif7-Sufu homolog;Kif7,Sufu
OBSL1-CUL7 complex;OBSL1,CUL7
ATL2-SPG33 complex;ZFYVE27,ATL2
Fbxw8-Grasp65 complex;Gorasp1,Fbxw8
PDZD11-nectin1 complex;NECTIN1,PDZD11
PDZD11-nectin3 complex;PDZD11,NECTIN3
ATL3-SPG33 complex;ZFYVE27,ATL3
GAP-43-Galphai complex;Gnai1,Gap43
SPG4-SPG12 complex;RTN2,SPAST
CADM1-4.1B-MPP3 complex;MPP3,CADM1,EPB41L3
NF2-WWC1 complex;NF2,WWC1
RhBG-kAE1-ankyrin-G complex;SLC4A1,ANK3,RHBG
MGAT1-NGT complex;MGAT1,SLC35A3
NEK2A-SAV1-STK3 complex;NEK2,STK3,SAV1
MGAT2-SLC35A3 complex;MGAT2,SLC35A3
MGAT4B-SLC35A3 complex;MGAT4B,SLC35A3
MGAT4B-SLC35A2(splice variant 1) complex;SLC35A2,MGAT4B
AP5 adaptor complex;AP5Z1,AP5B1,AP5M1,AP5S1
AMOT130-Lats2 complex;AMOT,Lats2
MAGT5-SLC35A3 complex;MGAT5,SLC35A3
VANGL2-PSD95 complex;Dlg4,Vangl2
Merlin-ERM-moesin-CD44 complex;Msn,Cd44,Ezr,Nf2
Rbx1- Cul1-Skp1-Fbxw8-Cul7-Rbx1;Rbx1,Fbxw8,Cul7,Skp1,Cul1
WDR20-USP12-UAF1 complex;USP12,WDR48,WDR20
WDR20-USP46-UAF1 complex;USP46,WDR48,WDR20
USP12-UAF1 complex;USP12,WDR48
USP46-UAF1 complex;USP46,WDR48
CCC-Wash (WASH1, FAM21C) complex;WASH1,CCDC22,CCDC93,C16orf62,COMMD6,COMMD7,COMMD2,COMMD1,COMMD5,COMMD4,COMMD8,COMMD9,COMMD3,FAM21C,COMMD10
Phosphorylase kinase complex;PHKA1,CALM1, CAL,PHKG1,PHKB
USP22-SAGA complex;TADA3,TAF10,ATXN7L3,TADA2B,KAT2A,TAF9B,USP22,TRRAP
ODC-OAZ1-CCND1 complex;ODC1,CCND1,OAZ1
SAGA complex, GCN5-linked;SUPT3H,TADA3,TAF5L,SUPT7L,ADA,TAF10,ATXN7L3,TAF12,TAF9,ATXN7L2,TADA2B,SUPT20H,KAT2A,SGF29,TAF9B,ATXN7L1,USP22,TRRAP,TAF6L
CCDC22-COMMD1-CUL2 complex;CCDC22,CUL2,COMMD1
CCC complex;CCDC22,CCDC93,C16orf62,COMMD6,COMMD7,COMMD2,COMMD1,COMMD5,COMMD4,COMMD8,COMMD9,COMMD3,COMMD10
SMAD2-SMAD4-WWTR1 complex;SMAD4,SMAD2,WWTR1
MED15-WWTR1 complex;MED15,WWTR1
SMAD3-SMAD4-WWTR1 complex;SMAD3,SMAD4,WWTR1
KCND3-KCNIP4 complex;KCNIP4,KCND3
WWTR1-YAP1 complex;YAP1,WWTR1
WWTR1 homodimer;WWTR1
EP300-KAT2B-TBX5-WWTR1 complex;EP300,KAT2B,TBX5,WWTR1
KCNJ11-ABCC9 complex;ABCC9,KCNJ11
CTNNB1-TBX5-YAP1 complex;CTNNB1,YAP1,TBX5
Nherf1-Fzd4-Vangl2 complex;Slc9a3r1,Fzd4,Vangl2
ATAC complex, GCN5-linked;TADA2A,TADA3,WDR5,DR1,ZZZ3,KAT2A,SGF29,KAT14,MBIP,YEATS2
CCDC22-COMMD8-CUL1 complex;CCDC22,CUL1,COMMD8
Ubiquitin E3 ligase (CCDC22, COMMD8, CUL3);CCDC22,CUL3,COMMD8
LATS1-NPHP4 complex;NPHP4,LATS1
NEK8-WWTR1 complex;NEK8,WWTR1
Ezrin-Nherf1-Irbit-NHE3 complex;Ezr,Slc9a3r1,Ahcyl1,Slc9a3
STAGA complex, SPT3-linked;ATXN7,SUPT3H,TADA3,TAF5L,SUPT7L,TAF10,ATXN7L3,TAF12,TAF9,TADA2B,SUPT20H,KAT2A,TADA1,SGF29,SAP130,ENY2,USP22,TRRAP,TAF6L
ATAC complex, YEATS2-linked;MAP3K7,TADA2A,TADA3,WDR5,DR1,UBAP2L,ZZZ3,KAT2A,SGF29,KAT14,POLE4,POLE3,MBIP,YEATS2
Glis3-Wwtr1 complex;Glis3,Wwtr1
GLIS3-SUFU complex;GLIS3,SUFU
B9 complex;Tctn2,Tmem231,B9d2,Mks1,Tctn1,Cc2d2a,Tmem17,Ahi1,Kctd10
KCNJ11-ABCC8 complex;ABCC8,Kcnj11
PI4K2A-WASH complex;AP3B1,NEDD4,CAPZB,DNM2,CAPZA1,CLTC,KIAA0196,KIAA1033,FKBP15,FAM21A,ARHGEF1,ARHGEF2,DOCK7,PI4K2A
Ank2-Kcnj11-Abcc8 complex;Kcnj11,Abcc8,Ank2
Foxo1-Yap1 complex;Yap1,Foxo1
Ank2-Kcnj11-Abcc9(splice variant 1) complex;Abcc9,Kcnj11,Ank2
PI4K2A-PRDX1 complex;PRDX1,PI4K2A
WWTR1-YWHAQ complex;YWHAQ,WWTR1
Nphp1-Nphp4-Rpgrip1l complex;Nphp4,Rpgrip1l,Nphp1
Cep290-Iqcb1 complex;Cep290,Iqcb1
Ctbp1-Glis2-Hdac3 complex;Ctbp1,Hdac3,Glis2
CTNNB1-GLIS2 complex;CTNNB1,GLIS2
DVL2-INVS-NPHP4-RPGRIP1L complex;DVL2,NPHP4,RPGRIP1L,INVS
MKS1-TMEM67 complex;TMEM67,MKS1
SYNE2-TMEM67 complex;TMEM67,SYNE2
TNFR2 signaling complex;TNF,TNFRSF1B,XPNPEP3
IL13RA1-TRAF3IP1 complex;IL13RA1,TRAF3IP1
Actn4-Alms1 complex;Actn4,Alms1
Arl6-Sec61b complex;Arl6,Sec61b
GLIS2-TRIM32 complex;TRIM32,GLIS2
DTNBP1-TRIM32 complex;TRIM32,DTNBP1
NEDD4-PI4K2A complex;NEDD4,PI4K2A
CLTC-PI4K2A complex;CLTC,PI4K2A
PI4K2A-PLDN complex;PI4K2A,BLOC1S6
DVL1-PI4K2A complex;DVL1,PI4K2A
Cxcr2-Nherf1-PLC-beta-2 complex;Plcb2,Cxcr2,Slc9a3r1
MKKS-BBS12 complex;BBS12,MKKS
CPLANE complex;Intu,Fuz,Wdpcp
G-calpain;Capn8,Capn9
KCNQ1 homotetramer;KCNQ1
KCNQ1-Kcne1 complex;Kcne1,KCNQ1
DVL1-PIP5K1B-PI4K2A complex;DVL1,PIP5K1B,PI4K2A
CXCR2-NHERF1-PLC-beta-3 complex;SLC9A3R1,CXCR2,PLCB3
TBCD-tubulin(alpha)-tubulin(beta) complex;TUBB,TUBA1A,TBCD
KCNQ1-KCNE2 complex;KCNQ1,KCNE2
KCNQ1-KCNE3 complex;KCNQ1,KCNE3
CAPN1-HSP90AB1 complex;CAPN1,HSP90AB1
PIP5K1B-PI4K2A complex;PIP5K1B,PI4K2A
KCNQ1-KCNE4 complex;KCNQ1,KCNE4
KCNQ1-KCNE5 complex;KCNQ1,KCNE5
Calpain 1;CAPNS1,CAPN1
Calpain 2;CAPNS1,CAPN2
KCNQ2-KCNQ3 complex;KCNQ3,KCNQ2
TBCD-ARL2-tubulin(beta) complex;TUBB,ARL2,TBCD
TBCE-TBCB-tubulin(alpha) complex;TBCE,TUBA1A,TBCB
TBCD-ARL2-tubulin(beta)-TBCE complex;TUBB,ARL2,TBCE,TBCD
DLG5-MST1-MST2 complex;STK4,STK3,DLG5
KCNQ3-KCNQ5 complex;KCNQ3,KCNQ5
CALM1-KCNQ4(splice variant 1) complex;KCNQ4,CALM1, CAL
FILIP1-FLNA complex;FLNA,FILIP1
CALM1-KCNQ2-KCNQ3 complex;Kcnq3,Calm1, Cal,Kcnq2
FILIP1-RhoD complex;RHOD,FILIP1
Grk6-Ags3-Galphai2 complex, CXCL8 activated;Grk6,Gnai2,Gpsm1
WHAMM-RhoD complex;RHOD,WHAMM
ARP3-WHAMM complex;ACTR3,WHAMM
GRASP1-GRIP1 complex;GRIPAP1,GRIP1
Grasp1-Grip1-Glur2 complex;Gria2,Grip1,Gripap1
9-1-1-RHINO complex;RAD1,HUS1,RAD9A,RHNO1
IQGAP1-CXCR2 complex;CXCR2,IQGAP1
14-3-3 gamma-CXCR2 complex, unstimulated;CXCR2,YWHAG
VASP-CXCR2 complex, CXCL8 stimulated;CXCR2,VASP
RHINO-TopBP1 complex;TOPBP1,RHNO1
9b-1-1 complex;RAD1,HUS1,RAD9B
9b-1b-1 complex;RAD1,RAD9B,HUS1B
SIGMAR1-KCNH2 complex;KCNH2,SIGMAR1
PRAME-Cullin2 ubiquitin ligase complex;PRAME,CUL2
H2A-H2B-TDIF2-PCNA complex;PCNA,HIST2H2AC,HIST2H2BE,DNTTIP2
PRAME-ElonginBC ubiquitin ligase;PRAME,TCEB1,TCEB2
AURKA-INPP5E complex;AURKA,INPP5E
INPP5E-PDE6D-RPGR complex;PDE6D,RPGR,INPP5E
SMG1-UPF2-Y14-MAGOH-UPF3B-EIF4A3 complex;EIF4A3,MAGOH,SMG1,UPF3B,UPF2,RBM8A
AHI1-NPHP1 heterodimer;NPHP1,AHI1
AHI1-HAP1 complex;HAP1,AHI1
Fgf12-Nav1.2 complex;Scn2a,Fgf12
Fhf1b-Nav1.9 complex;Scn11a,Fgf12
AQP1 homotetramer;AQP1
KCNMA1-LRRC26 complex;KCNMA1,LRRC26
ITGB1BP1-KRIT1-RAP1A complex;KRIT1,ITGB1BP1,RAP1A
AHI1-NPHP1 heterotetramer;NPHP1,AHI1
Stx7-Unc13d-Vamp8 complex;Unc13d,Vamp8,Stx7
Smad3-mSin3A-Hdac1 complex;Hdac1,Sin3a,Smad3
SOG complex;SEC13,NPRL3,SZT2,WDR59,NPRL2,SEH1L,WDR24,MIOS
KICSTOR complex;SZT2,ITFG2,C12orf66,KPTN
DYRK1A-HAN11 complex;DCAF7,DYRK1A
RasGAP-AURKB-survivin complex;BIRC5,RASA1,AURKB
DYRK1B-HAN11 complex;DCAF7,DYRK1B
IL10 receptor;IL10RB,IL10RA
Vangl1-Dvl1 complex;Dvl1,Vangl1
Vangl1-Dvl2 complex;Dvl2,Vangl1
Vangl1-Dvl3 complex;Dvl3,Vangl1
Vangl2-Dvl1 complex;Dvl1,Vangl2
Vangl2-Dvl2 complex;Dvl2,Vangl2
Vangl2-Dvl3 complex;Dvl3,Vangl2
CCR4-NOT complex;CNOT1,CNOT3,RQCD1,CNOT6L,CNOT10,CNOT2,CNOT7,CNOT11,CNOT6
Arnt-Ahrr complex;Arnt,Ahrr
GCH1-GCHFR complex;Gch1,Gchfr
TBX20-TBX18 repressor complex;TBX18,TBX20
TBX20-TLE1 repressor complex;TLE1,TBX20
TBX20-TLE3 repressor complex;TLE3,TBX20
TBX20-HDAC2 repressor complex;HDAC2,TBX20
Tbx20-Tle1 repressor complex;Tle1,Tbx20
Tbx20-Tle3 repressor complex;Tle3,Tbx20
Fhl1-Pdlim1-Gsn-Actn1 complex;Pdlim1,Gsn,Fhl1,Actn1
Pdlim1-Alpha-actinin-1 complex;Pdlim1,Actn1
Igfn1-Ky-Flnc complex;Igfn1,Ky,Flnc
SCRIB-NOS1AP-VANGL1 complex;NOS1AP,SCRIB,VANGL1
SCRIB-GIT1-ARHGEF7-PAK1 complex;PAK1,ARHGEF7,SCRIB,GIT1
RAD6A-KCMF1-UBR4 complex;UBE2A,UBR4,KCMF1
Cpt1a-Acsl1-Vdac1 complex;Acsl1,Cpt1a,Vdac1
mitochondrial permeability  transition pore (PTP) complex (PPIF-SPG7-VDAC1);VDAC1,PPIF,SPG7
CLIC5A-EZR-PODXL complex;PODXL,EZR,CLIC5
SCHIP1-EZR-NHERF2 complex;EZR,SLC9A3R2,SCHIP1
Podxl-Nherf2-Ezr complex;Ezr,Slc9a3r2,Podxl
NHE3-NHERF2-ACTN4, Ca(2+) induced;ACTN4,SLC9A3,SLC9A3R2
SLC9A3R1-ACTN4 complex;SLC9A3R1,ACTN4
PTEN-NHERF1-EGFR complex;SLC9A3R1,EGFR,PTEN
NHERF1-PRKCZ complex;SLC9A3R1,PRKCZ
NHERF1-NPT2A-EZR complex;SLC9A3R1,EZR,SLC34A1
NHERF1-ARRB2-PTH1R complex, PTH stimulated;SLC9A3R1,ARRB2,PTH1R
PDZK1-NHERF1-EZR complex;SLC9A3R1,EZR,PDZK1
LPAR2-TRIP6-NHERF2 complex, LPA stimulated;SLC9A3R2,TRIP6,LPAR2
LPAR2-SIVA1 complex;SIVA1,LPAR2
SIVA1-S1PR4 complex;SIVA1,S1PR4
S1PR1-c-Met-ITGB4 complex, HGF- or S1P-induced;MET,ITGB4,S1PR1
VEGFR2-S1PR1-ERK1/2-PKC-alpha complex;PRKCA,S1PR1,MAPK3,MAPK1,KDR
VEGFR2-S1PR2-ERK1/2-PKC-alpha complex;S1PR2,PRKCA,MAPK3,MAPK1,KDR
VEGFR2-S1PR3-ERK1/2-PKC-alpha complex;PRKCA,MAPK3,MAPK1,KDR,S1PR3
VEGFR2-S1PR5-ERK1/2-PKC-alpha complex;PRKCA,MAPK3,MAPK1,KDR,S1PR5
Pdgfbr-S1pr1 complex;PDGFRB,S1PR1
Pdgfrb-S1pr1-phosphorylated p42/p44 Mapk complex, PDGF stimulated;MAPK3,PDGFRB,S1PR1,MAPK1
S1PR1\u2013beta-arrestin 2 complex, ApoM(+)HDL-S1P stimulated;S1PR1,ARRB2
IGF1R-CXCR4-GNAI2-GNB1 complex;GNAI2,IGF1R,CXCR4,GNB1
ADRA1A-CXCR4 complex;ADRA1A,CXCR4
ADRB1-CXCR4 complex;ADRB1,CXCR4
Arrb2-Akt-Ppp2ca complex;Akt1,Ppp2ca,Arrb2
Akt-Arrb2-Ppp2ca-Ppp2r2a complex;Akt1,Ppp2ca,Ppp2r2a,Arrb2
Arrb1-Becn1-Pik3c3 complex, induced by (OGD) oxygen-glucose deprivation;Becn1,Pik3c3,Arrb1
Arrb2-Akt-Src complex, insulin induced;Src,Akt1,Arrb2
Insr-Arrb2-Akt-Src complex, insulin induced;Src,Insr,Akt1,Arrb2
DRD4-KLHL12-CUL3 complex;DRD4,CUL3,KLHL12
ULK1-ATG13-ATG14-PIK3C3 complex;ATG13,ULK1,ATG14,PIK3C3
CUBAM-megalin complex;Amn,Cubn,Lrp2
APOL1 complex A (APOL1, APOA1, HPR, C3);APOL1,HPR,C3,APOA1
APOL1 complex B (APOL1, APOA1, HPR, FN1, IGHM);APOL1,HPR,IGHM,APOA1,FN1
TTR-RBP complex;RBP4,TTR
ZAG-PIP complex;PIP,AZGP1
CP\u2013LF\u2013MPO complex;CP,LTF,MPO
CP-LF complex;CP,LTF
CP-MPO complex;CP,MPO
Calprotectin heterotetramer;S100A8,S100A9
iNOS-S100A8/A9 complex;S100A8,S100A9,NOS2
FGF21-FGFR1c-KLB complex;FGFR1,KLB,FGF21
Klotho-Kdr-Trpc1 complex;Kl,Kdr,Trpc1
FGF23-FGFR1c-KL complex;Kl,FGFR1,FGF23
FGFR1c-KL complex;Kl,FGFR1
FGF19-FGFR4-KLB complex, heparin induced;FGF19,FGFR4,KLB
FGFR4-KLB complex;FGFR4,KLB
FGF21-FGFR4-KLB complex;FGFR4,KLB,FGF21
FGFR1c-KLB complex;FGFR1,KLB
IGF2BP1 complex;SYNCRIP,STAU1,RPL26,RPS6,YBX1,HNRNPU,DHX9,ELAVL1,IGF2BP1
Slc34a1-Nherf1 complex;Slc9a3r1,Slc34a1
Dyrk1b-Hnf1a-Pcbd2 complex;Hnf1a,Pcbd2,Dyrk1b
EphA1 receptor signaling complex;LCK,EPHA1,PIK3R1,PTK2B
c-Jun-Atf3 complex;Jun,Atf3
NIF-1-DBC1-EMSY complex;EMSY,CCAR2,ZNF335
NIF1-ASH2L-RBBP5-WDR5 complex;WDR5,KDM6B,ZNF335,ASH2L
DBC1-SIRT1 complex;CCAR2,SIRT1
DBIRD complex;ZNF326,CCAR2
IRF2BP2-IRF2BP1-IRF2BPL complex;IRF2BP2,IRF2BP1,IRF2BPL
WRAD  complex (WDR5, RBBP5, ASH2L, DPY30);WDR5,KDM6B,DPY30,ASH2L
WRA complex (WDR5, RBBP5, ASH2L);WDR5,KDM6B,ASH2L
MWRAD complex (MLL1, WDR5, RBBP5, ASH2L, DPY30);WDR5,KMT2A,KDM6B,DPY30,ASH2L
COPRS-PRMT5-RUNX1-CBFB complex;PRMT5,RUNX1,CBFB,COPRS
COPRS-PRMT5 complex;PRMT5,COPRS
5FMC (Friends of Methylated Chtop) complex;PELP1,WDR18,SENP3,TEX10,LAS1L
LAS1L-PELP1-TEX10-WDR18-NOL9-SENP3  complex;NOL9,PELP1,WDR18,SENP3,TEX10,LAS1L
PeBoW complex;PES1,BOP1,WDR12
PELP1-TEX10-WDR18 complex;PELP1,WDR18,TEX10
CHTOP-methylosome complex;PRMT5,ERH,PRMT1,WDR77,CHTOP
HRD1 complex;ERLIN2,HSPA5,HSP90B1,BSG,OS9,SYVN1,FAF2,ERLEC1,DERL2,FAM8A1,SEL1L,UBE2J1,AUP1
E6AP-HERC2-MAPK6-NEURL4 complex;HERC2,UBE3A,MAPK6,NEURL4
MMAA-MUT complex;MUT,MMAA
Bag6-Ubl4A-Trc35 Complex;UBL4A,BAG6,GET4
CBX3-EHMT2-NR3C1 complex;NR3C1,CBX3,EHMT2
CBX3-EHMT1-NR3C1 complex;NR3C1,CBX3,EHMT1
Smarca4-Ehmt2-Dnmt3a complex, stress induced by TAC (transverse aortic constriction);Dnmt3a,Smarca4,Ehmt2
AMFR-ERLIN2-TMUB1 complex;ERLIN2,TMUB1,AMFR
Amfr-Vcp-Ngly1 complex;Vcp,Ngly1,Amfr
Amfr-Vcp-Ubxn1 complex;Vcp,Ubxn1,Amfr
Ngly1-Vcp-Ubxn1 complex;Vcp,Ubxn1,Ngly1
Amfr-Vcp-Ubxn1-Ngly1-Rad23b complex;Rad23b,Vcp,Ubxn1,Ngly1,Amfr
AMFR-STING-INSIG1 complex, herpes simplex virus 1 induced;INSIG1,TMEM173,AMFR
MMACHC-MMADHC complex;Mmadhc,Mmachc
BAG6-AMFR-FAF2 complex;BAG6,FAF2,AMFR
Grp94-Os-9 chaperone-lectin complex;HSP90B1,Os9
CRBN-DDB1-CUL4A-RBX1 E3 ubiquitin ligase;RBX1,CUL4A,DDB1,CRBN
Tlr9-Hsp90b1-Cnpy3 complex;Hsp90b1,Cnpy3,Tlr9
Hsp90b1-Cnpy3 complex;Hsp90b1,Cnpy3
PET (PIWI-EXD1-Tdrd12) complex;Exd1,Piwil2,Tdrd12
